"k,""Rayyan.ID"",""Title"",""Year"",""Species..Latin."",""Species..English."",""Genetic.line..if.applicable."",""Order"",""Family"",""Recording.location"",""Group.context"",""Juveniles.present."",""Number.of.animals"",""Number.of.vocalizations..total.recorded."",""Number.of.vocalizations..included.in.analysis."",""Call.classification"",""Full.repertoire.analysed."",""Repertoire.size..hand..total."",""Repertoire.size..hand..juvenile....indicate.how.many.calls.of.total.repertoire.are.juvenile."",""Repertoire.size..automated."",""Graded.vs.discrete..do.authors.mention.reportoire.is.graded.."",""Data.availability"",""Notes"",""Preselected.non.noisy.calls"",""Spectrogram.type"",""FFT.size"",""Window.type"",""Overlap...."",""Bandpass.filtered"",""High.pass.freq.threshold"",""Low.pass.freq.threshold"",""Notes..preprocess."",""Package"",""Number.of.features"",""Multi.unit.calls."",""Characteristics.general"",""Syllables.units"",""Repeated.measurements.at.multiple.locations.in.call."",""PRAAT.measures"",""AvisoftSAS.Lab.Pro.measurements"",""Raven.Pro.measurements"",""warblR.measurements"",""Custom.features"",""Custom.measurement.of."",""Notes.call.features"",""Language"",""analysis_methods"",""Analysis.based.on."",""Notes.analysis"",""Open.access"",""License"",""Done."",""key"",""title"",""year"",""month"",""day"",""journal"",""issn"",""volume"",""issue"",""pages"",""authors"",""url"",""language"",""publisher"",""location"",""notes"",""doi"",""keywords"",""pubmed_id"",""pmc_id"",""PDF.files"",""n_animals"",""n_recs_analysed"",""juvenile"",""rep_size""";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"21/08/2025 20:21:58,""rayyan-305067102"",""Characterising the harmonic vocal repertoire of the Indian wolf (Canis lupus pallipes)."",2019,""Canis lupus pallipes"",""Indian wolf"","""",""Carnivora"",""Canidae"",""field, zoo"",""group"",""Yes"",""unknown"",NA,""270"",""Automated"",""Yes"","""",NA,""4"",""No"",""Yes, preprocessed"","""",""yes"","""","""",""Hanning/Hann"","""","""",NA,NA,""The discrete Fourier function transforms the same length sequence of equally spaced sample points (N, where N is a prime number) with circular convolution being implemented on the points [48]. Hann windows were used at the rate of 1800 samples on 35.2 Hz 3dB filter. "",""not specified"",""11"",""No"",""duration"","""","""","""","""","""","""",""f0 min, f0 max, f0 bandwidth, mean f0, number of abrupt changes (25Hz, 50 Hz, 100Hz), f0 std, covariant of frequency modulation, coefficient of frequency variation"",""F0"","""",""SPSS"",""DFA, PCA, silhouette clustering, agglomerative hierarchical clustering"",""features"","""",""Yes"",""CC BY 4.0"",""x"",""rayyan-305067102"",""Characterising the harmonic vocal repertoire of the Indian wolf (Canis lupus pallipes)."",2019,NA,NA,""plos one"",""1932-6203 (Electronic)"",14,10,""e0216186"",""Sadhukhan S and Hennelly L and Habib B"",""https://pubmed.ncbi.nlm.nih.gov/31671161/"",""eng"",NA,""United States"",""RAYYAN-INCLUSION: {""""Dori""""=>""""Included""""}"",""10.1371/journal.pone.0216186"",""Animals";Female;Male;Vocalization, Animal/*physiology;"Wolves/*physiology"",""31671161"",""PMC6822943"",NA,-1,270,0,NA";;;;;;;;;;;;;;;;;;;;;;;;
"24/08/2025 15:02:51,""rayyan-305067117"",""The vocal repertoire of adult and neonate giant otters (Pteronura brasiliensis)."",2014,""Pteronura brasiliensis"",""giant otter"","""",""Carnivora"",""Mustelidae"",""field, zoo"",""group"",""Yes"",""66"",NA,""441"",""Hand"",""Yes"",""33"",11,"""",""Yes"",""Yes, raw"","""",""yes"","""",""1024"",""Hanning/Hann"",""87.5"",""No"",NA,NA,"""",""Raven Pro"",""59"",""Some"",""duration"","""",""four subunits of equal duration";" To describe the frequency contour of the vocalizations, we measured frequency and time at 9 points of equal time distance along the fundamental frequency. The 9 points represented start, mid and end point of each subunit"","""","""",""aggregate entropy, average entropy, peak time"","""",""time to peak amplitude, min freq, max freq, dominant freq,  proportion of chaos, subharmonics and biphonation"",""dominant frequency, amplitude"","""",""SPSS"",""DFA, PCA"",""features"",""DFA on PCs"",""Yes"",""CC BY 4.0"",""x"",""rayyan-305067117"",""The vocal repertoire of adult and neonate giant otters (Pteronura brasiliensis)."",2014,NA,NA,""plos one"",""1932-6203 (Electronic)"",9,11,""e112562"",""Mumm CA and Knörnschild M"",""https://pubmed.ncbi.nlm.nih.gov/25391142/"",""eng"",NA,""United States"",""RAYYAN-INCLUSION: {""""Dori""""=>""""Included""""}"",""10.1371/journal.pone.0112562"",""Acoustics";Animals;Animals, Newborn;Female;Individuality;Male;Otters/*physiology;Pattern Recognition, Physiological/*physiology;Sexual Maturation;*Social Behavior;"Vocalization, Animal/*physiology"",""25391142"",""PMC4229255"",NA,66,441,11,33";;;;;;;;;;;;;;;;;
"24/08/2025 10:12:33,""rayyan-305067126"",""The vocal repertoire of the Key Largo woodrat (Neotoma floridana smalli)"",2012,""Neotoma floridana smalli"",""Key Largo woodrat"","""",""Rodentia"",""Cricetidae"",""field, zoo"",""group, solitary"",""Yes"",""22"",NA,""430"",""Hand"",""Yes"",""4"",NA,"""",""No"",""No"","""",""yes"","""","""",""Hanning/Hann"","""",""Lowpass"",NA,60000,""Only tonal calls filtered"",""Praat"",""6"",""No"",""duration"","""","""",""mean F0, max F0, min F0, range F0, f0 sd"","""","""","""","""","""",""different measures for tonal vs atonal, spectral peaks were extracted by smoothing the spectrum using the linear-predictive-coding"",""Praat"",""Multidimensional scaling"",""features"","""",""No"","""",""x"",""rayyan-305067126"",""The vocal repertoire of the Key Largo woodrat (Neotoma floridana smalli)."",2012,11,NA,""the journal of the acoustical society of america"",""1520-8524 (Electronic)"",132,5,""3550-8"",""Soltis J and Alligood CA and Blowers TE and Savage A"",""https://pubmed.ncbi.nlm.nih.gov/23145634/"",""eng"",NA,""United States"",""RAYYAN-INCLUSION: {""""Dori""""=>""""Included""""}"",""10.1121/1.4757097"",""Acoustics";Age Factors;Animals;Animals, Newborn;Copulation;Courtship;Female;Male;Maternal Behavior;Sigmodontinae/*physiology;Signal Processing, Computer-Assisted;Social Behavior;Sound Spectrography;Video Recording;"*Vocalization, Animal"",""23145634"","""",NA,22,430,0,4";;;;;;;;;;;;;;
"15/10/2025 11:17:03,""rayyan-305067392"",""The use of Artificial Neural Networks to classify primate vocalizations: a pilot study on black lemurs"",2010,""Eulemur macaco macaco"",""black lemur"","""",""Primates"",""Lemuridae"",""field, zoo"",""group"",""Unknown"",""12"",NA,""344"",""Hand, Automated"",""Yes"",""7"",NA,""7"",""No"",""No"","""",""yes"","""","""","""","""",""Lowpass"",NA,15000,"""",""Praat"",""13"",""No"","""","""",""start, middle, end"",""F0 point"","""","""","""",""F1, F2, F3"",""formants"",""3x measurements for each of the first 4 formants + duration"",""MATLAB"",""DFA, K-means clustering, ANN"",""features"",""15 units network (one hidden layer network)"",""No"","""",""x"",""rayyan-305067392"",""The use of Artificial Neural Networks to classify primate vocalizations: A pilot study on black lemurs."",2010,4,NA,""american journal of primatology"",""1098-2345 (Electronic)"",72,4,""337-48"",""Pozzi L and Gamba M and Giacoma C"",""https://pubmed.ncbi.nlm.nih.gov/20034021/"",""eng"",NA,""United States"",""RAYYAN-INCLUSION: {""""Dori""""=>""""Included""""}"",""10.1002/ajp.20786"",""Animals";Female;Lemur/*physiology;Male;*Neural Networks, Computer;Pilot Projects;"Vocalization, Animal/*classification"",""20034021"","""",NA,12,344,0,7";;;;;;;;;;;;;;;;;;;;;;
"20/08/2025 06:31:45,""rayyan-305067081"",""Vocal repertoire and auditory sensitivity of white-throated woodrats (Neotoma albigula)."",2023,""Neotoma albigula"",""white-throated woodrat"","""",""Rodentia"",""Cricetidae"",""lab"",""group, solitary"",""No"",""22"",NA,""374"",""Hand"",""Yes"",""6"",NA,"""",""No"",""Upon request"","""",""no"",""linear"",""512"",""Hanning/Hann"",""50"",""No"",NA,NA,"""",""Raven Pro"",""5"",""No"",""duration"","""","""","""","""",""max/peak frequency"","""",""minimum freq, maximum freq, bandwidth"","""",""Unclear how the measures are measured in Raven Pro"",""SPSS"",""DFA"",""features"","""",""No"","""",""x"",""rayyan-305067081"",""Vocal repertoire and auditory sensitivity of white-throated woodrats (Neotoma albigula)."",2023,5,NA,""journal of comparative psychology (washington, d.c. : 1983)"",""1939-2087 (Electronic)"",137,2,""116-128"",""Kobrina A and Letowt ME and Pasch B"",""https://pubmed.ncbi.nlm.nih.gov/36315635/"",""eng"",NA,""United States"",""RAYYAN-INCLUSION: {""""Dori""""=>""""Included""""}"",""10.1037/com0000330"",""Animals";*Sigmodontinae/physiology;"*Auditory Perception"",""36315635"","""",NA,22,374,0,6";;;;;;;;;;;;;;;;;;;;;;;;;;
"23/10/2025 19:37:33,""rayyan-305067127"",""Role of auditory feedback for vocal production learning in the Egyptian fruit bat."",2024,""Rousettus aegyptiacus"",""Egyptian fruit bat"","""",""Chiroptera"",""Pteropodidae"",""lab"",""group"",""No"",""10"",NA,""28091"",""Automated"",""Yes"","""",NA,""4"",""No"",""Yes, raw"","""",""yes"","""","""","""","""","""",NA,NA,"""",""BioSound (python), MATLAB"",""28"",""No"",""duration"","""","""","""","""","""","""",""pitch saliency, F0, CV of F0,  five first momentum of the sound temporal envelope taken as a distribution (mean, standard deviation, kurtosis, skewness and entropy), amplitude periodicity frequency,  amplitude periodicity power index,  five first momentum of the sound power spectrum taken as a distribution (mean, standard deviation, kurtosis, skewness and entropy) and the first, second and third spectral quartiles"",""F0, peak frequency"",""Featuers from piezo audiologger and microphone"",""MATLAB"",""DFA, PCA, UMAP, hierarchical agglomerative clustering"",""spectrogram"",""analysis based on NMPS (Normalized Modulation Power Spectrum)"",""Yes"",""Elsevier user license"",""x"",""rayyan-305067127"",""Role of auditory feedback for vocal production learning in the Egyptian fruit bat."",2024,9,9,""current biology : cb"",""1879-0445 (Electronic)"",34,17,""4062-4070.e7"",""Elie JE and Muroy SE and Genzel D and Na T and Beyer LA and Swiderski DL and Raphael Y and Yartsev MM"",""https://pubmed.ncbi.nlm.nih.gov/39255755/"",""eng"",NA,""England"",""RAYYAN-INCLUSION: {""""Dori""""=>""""Included""""}"",""10.1016/j.cub.2024.07.053"",""Animals";*Chiroptera/physiology;*Vocalization, Animal/physiology;*Learning/physiology;Female;Male;Feedback, Sensory/physiology;Auditory Perception/physiology;"Hearing/physiology"",""39255755"",""PMC11493346"",NA,10,28091,0,NA";;;;;;;;;;;;;;;;;;;;
"23/10/2025 19:23:26,""rayyan-305067139"",""A cooperatively breeding mouse shows flexible use of its vocal repertoire according to social context."",2025,""Rhabdomys pumilio"",""African striped mouse"","""",""Rodentia"",""Muridae"",""lab"",""group"",""No"",""87"",NA,""66137"",""Automated"",""Yes"","""",NA,""7"",""Yes"",""No"","""",""no"","""",""1680"","""",""90"","""",NA,NA,""selected based on tonality threshold (wiener entropy)"",""Deepsqueak"",""9"",""No"",""duration"","""","""","""","""","""","""",""median freq"; min freq; max freq; freq bandwidth; freq std; slope; wiener entropy;" sinuosity"","""",""contour from Deepsqueak"",""Deepsqueak"",""K-means clustering"",""features"","""",""Yes"",""CC BY-NC 4.0"",""x"",""rayyan-305067139"",""A cooperatively breeding mouse shows flexible use of its vocal repertoire according to social context."",2025,5,28,""behavioural brain research"",""1872-7549 (Electronic)"",486,NA,""115575"",""Perrier L and de Witasse Thézy A and Pradeau A and Schradin C and Greenfield MD and Mathevon N and Levréro F"",""https://pubmed.ncbi.nlm.nih.gov/40187690/"",""eng"",NA,""Netherlands"",""RAYYAN-INCLUSION: {""""Dori""""=>""""Included""""}"",""10.1016/j.bbr.2025.115575"",""Animals";*Vocalization, Animal/physiology;Male;Female;*Social Behavior;*Murinae/physiology;*Cooperative Behavior;Sexual Behavior, Animal/physiology;"Mice"",""40187690"","""",NA,87,66137,0,NA";;;;;;;;;;;;;
"20/08/2025 07:08:38,""rayyan-305067149"",""A quantitative acoustic analysis of the vocal repertoire of the common marmoset (Callithrix jacchus)."",2015,""Callithrix jacchus"",""common marmoset"","""",""Primates"",""Callitrichidae"",""lab"",""group"",""Unknown"",""22"",NA,""34629"",""Hand, Automated"",""Yes"",""25"",NA,""5"",""No"",""No"",""Automated supervised based on 5 classes only, so technically still based on hand classification"",""yes"",""linear"",""512"",""Hanning/Hann"",""75"",""Yes"",3000,15000,""Due to the noise below 2 kHz in the Population 1 recordings resulting from background sounds in the colony room, all vocalization samples were filtered before further processing was performed. The filters used were sixth-order zero-phase Butterworth filters (sixth-order zero phase filtering is achieved by passing a signal first forward and then backward through the same third order filter)"",""MATLAB"",""17"",""Some"",""duration"",""inter unit interval, number of units"","""","""","""","""","""",""peak frequency, f0 min, f0 max, f0 start, f0 end, bandwidth, time to min, time to max, FM rate, max FM depth, FM depth, transition time, phrase sweep time"",""F0, peak frequency"","""",""MATLAB"",""SVM"",""features"","""",""No"","""",""x"",""rayyan-305067149"",""A quantitative acoustic analysis of the vocal repertoire of the common marmoset (Callithrix jacchus)."",2015,11,NA,""the journal of the acoustical society of america"",""1520-8524 (Electronic)"",138,5,""2906-28"",""Agamaite JA and Chang CJ and Osmanski MS and Wang X"",""https://pubmed.ncbi.nlm.nih.gov/26627765/"",""eng"",NA,""United States"",""RAYYAN-INCLUSION: {""""Dori""""=>""""Included""""}"",""10.1121/1.4934268"",""Acoustics";Animals;Auditory Perception/physiology;Callithrix/*physiology;Female;Housing, Animal;Male;Social Behavior;Sound Spectrography;"*Vocalization, Animal"",""26627765"",""PMC4644241"",NA,22,34629,0,25";;;;;;;;;;;;;;;;;;;
"17/08/2025 18:00:41,""rayyan-305067158"",""Vocal complexity in the long calls of Bornean orangutans."",2024,""Pongo pygmaeus wurmbii"",""Bornean orangutan"","""",""Primates"",""Hominidae"",""lab"",""group, solitary"",""No"",""13"",NA,""1033"",""Hand, Automated"",""No"",""8"",NA,""2-4"",""Yes"",""Yes, preprocessed"","""",""yes"","""",""512"",""Hanning/Hann"",""50"",""Yes"",50,1500,"""",""Raven Pro, warbleR "",""46"",""No"",""duration"","""","""","""","""",""aggregate entropy, average entropy, max/peak frequency, center frequency, 1st quartile frequency, 3rd quartile frequency, IQR bandwidth, frequency 5%, frequency 95%, bandwidth 90%, center time, 1st quartile time, 3rd quartile time, time 5%, time 95%, duration 90%, peak time"",""meanfreq, sd, freq.IQR, time.IQR, skew, kurt, sp.ent, time.ent, entropy, sfm, meandom, mindom, maxdom, drfange, midindx, startdom, enddom, dfslope, meanpeakf"",""Duration 50%, f0 min, f0 max"",""F0"","""",""R"",""UMAP, SVM, affinity propagation, C-means fuzzy clustering"",""features, spectrogram"","""",""Yes"",""CC BY 4.0"",""x"",""rayyan-305067158"",""Vocal complexity in the long calls of Bornean orangutans."",2024,NA,NA,""peerj"",""2167-8359 (Electronic)"",12,NA,""e17320"",""Erb WM and Ross W and Kazanecki H and Mitra Setia T and Madhusudhana S and Clink DJ"",""https://pubmed.ncbi.nlm.nih.gov/38766489/"",""eng"",NA,""United States"",""RAYYAN-INCLUSION: {""""Dori""""=>""""Included""""}"",""10.7717/peerj.17320"",""Animals";*Vocalization, Animal/physiology;Male;Pongo pygmaeus/physiology;Reproducibility of Results;Machine Learning;Acoustics;Sound Spectrography;"Borneo"",""38766489"",""PMC11100477"",NA,13,1033,0,8";;;;;;;;;;;;;;;;;;;;
"19/08/2025 11:41:30,""rayyan-305067169"",""Unsupervised discovery of family specific vocal usage in the Mongolian gerbil"",2024,""Meriones unguiculatus"",""Mongolian gerbil"","""",""Rodentia"",""Muridae"",""lab"",""group"",""Yes"",""18"",583237,""583237"",""Automated"",""Yes"","""",NA,""70"",""Yes"",""Upon request"","""",""no"",""linear"",""512"","""",""50"",""No"",NA,NA,"""",""not specified"","""",""Some"","""","""","""","""","""","""","""","""","""",""No features analysed"",""Python, Stan"",""GMM clustering, VAE"",""spectrogram"","""",""Yes"",""CC BY 4.0"",""x"",""rayyan-305067169"",""Unsupervised discovery of family specific vocal usage in the Mongolian gerbil."",2024,12,16,""elife"",""2050-084X (Electronic)"",12,NA,"""",""Peterson RE and Choudhri A and Mitelut C and Tanelus A and Capo-Battaglia A and Williams AH and Schneider DM and Sanes DH"",""https://pubmed.ncbi.nlm.nih.gov/39680425/"",""eng"",NA,""England"",""RAYYAN-INCLUSION: {""""Dori""""=>""""Included""""}"",""10.7554/eLife.89892"",""Animals";*Gerbillinae/physiology;*Vocalization, Animal/physiology;Male;Female;Social Behavior;"Acoustics"",""39680425"",""PMC11649239"",NA,18,583237,0,NA";;;;;;;;;;;;;;;;;;;;;;
"21/08/2025 10:53:08,""rayyan-305067179"",""Social and vocal behavior in adult greater tube-nosed bats (Murina leucogaster)."",2015,""Murina leucogaster"",""greater tube-nosed bat"","""",""Chiroptera"",""Vespertilionidae"",""lab"",""group"",""No"",""14"",NA,""489"",""Hand"",""Yes"",""17"",NA,"""",""No"",""No"",""17 communication calls (termed the repertoire) + 3 echolocation"",""yes"","""",""1024"",""Hamming"",""93.75"",""No"",NA,NA,"""",""Avisoft-SASLab Pro"",""9"",""Some"",""duration"","""","""","""",""peak frequency, min frequency, max frequency, bandwidth"","""","""",""f0 start, f0 end, number of harmonics, sweep direction"",""F0, formants"","""",""SPSS"",""PCA, MDS"",""features"","""",""No"","""",""x"",""rayyan-305067179"",""Social and vocal behavior in adult greater tube-nosed bats (Murina leucogaster)."",2015,6,NA,""zoology (jena, germany)"",""1873-2720 (Electronic)"",118,3,""192-202"",""Lin HJ and Kanwal JS and Jiang TL and Liu Y and Feng J"",""https://pubmed.ncbi.nlm.nih.gov/25862078/"",""eng"",NA,""Germany"",""RAYYAN-INCLUSION: {""""Dori""""=>""""Included""""}"",""10.1016/j.zool.2014.12.005"",""Animals";Behavior, Animal/*physiology;Chiroptera/*physiology;*Social Behavior;"Vocalization, Animal/*physiology"",""25862078"","""",NA,14,489,0,17";;;;;;;;;;;;;;;;;;;;;;;;
"10/10/2025 05:51:44,""rayyan-305067202"",""Sex differences in the vocal repertoire of adult red-capped mangabeys (Cercocebus torquatus): A multi-level acoustic analysis."",2010,""Cercocebus torquatus"",""red-capped mangabey"","""",""Primates"",""Cercopithecidae"",""lab"",""group"",""Yes"",""14"",6629,""870"",""Hand"",""Yes"",""8"",NA,"""",""Yes"",""No"",""graded calls excluded"",""yes"","""",""1024"","""","""",""No"",NA,NA,"""",""ANA acoustic software"",""3"",""Some"",""duration"","""","""","""","""","""","""",""peak freq";" min freq"",""peak frequency"","""",""SPSS"",""DFA"",""features"","""",""No"","""",""x"",""rayyan-305067202"",""Sex differences in the vocal repertoire of adult red-capped mangabeys (Cercocebus torquatus): A multi-level acoustic analysis."",2010,4,NA,""american journal of primatology"",""1098-2345 (Electronic)"",72,4,""360-75"",""Bouchet H and Pellier AS and Blois-Heulin C and Lemasson A"",""https://pubmed.ncbi.nlm.nih.gov/20052691/"",""eng"",NA,""United States"",""RAYYAN-INCLUSION: {""""Dori""""=>""""Included""""}"",""10.1002/ajp.20791"",""*Acoustics";Animals;Cercocebus/*physiology;Female;Male;*Sex Characteristics;Sound Spectrography;"Vocalization, Animal/*classification/*physiology"",""20052691"","""",NA,14,870,0,8";;;;;;;;;;;;;;;;;;;;
"10/10/2025 16:57:04,""rayyan-305067253"",""Age- and sex-specific patterns of vocal behavior in De Brazza's monkeys (Cercopithecus neglectus)."",2012,""Cercopithecus neglectus"",""De Brazza's monkey"","""",""Primates"",""Cercopithecidae"",""lab"",""group"",""Yes"",""23"",3145,""1786"",""Hand"",""Yes"",""10"",2,"""",""No"",""No"","""",""yes"","""",""1024"","""","""","""",NA,NA,"""",""ANA acoustic software"",""3"",""Some"",""duration"","""","""","""","""","""","""",""F0, peak frequency"",""F0, peak frequency"","""",""not specified"",""DFA"",""features"","""",""No"","""",""x"",""rayyan-305067253"",""Age- and sex-specific patterns of vocal behavior in De Brazza's monkeys (Cercopithecus neglectus)."",2012,1,1,""american journal of primatology"",""1098-2345 (Electronic)"",74,1,""12-28"",""Bouchet H and Blois-Heulin C and Lemasson A"",""https://pubmed.ncbi.nlm.nih.gov/21932330/"",""eng"",NA,""United States"",""RAYYAN-INCLUSION: {""""Dori""""=>""""Included""""}"",""10.1002/ajp.21002"",""Acoustics";Age Factors;Animals;Cercopithecus/*psychology;Female;Male;Phylogeny;Sex Characteristics;Social Behavior;"*Vocalization, Animal"",""21932330"","""",NA,23,1786,2,10";;;;;;;;;;;;;;;;;;;
"12/10/2025 13:55:00,""rayyan-305067318"",""Vocal communication in adult greater horseshoe bats, Rhinolophus ferrumequinum."",2006,""Rhinolophus ferrumequinum"",""greater horseshoe bat"","""",""Chiroptera"",""Rhinolophidae"",""lab"",""group"",""Unknown"",""32"",NA,"""",""Hand"",""Yes"",""17"",NA,"""",""No"",""No"","""",""yes"","""",""512"",""Hamming"","""","""",NA,NA,"""",""Avisoft-SASLab Pro"",""9"",""Some"",""duration"","""","""","""",""peak frequency, fundamental frequency"","""","""",""number of harmonics"; percentage of strongest harmonic; frequency range of initial and terminal FM; normalized percent of frequency modulation of the harmonics; sweep direction;" "",""formants"","""",""SPSS"",""PCA, MDS"",""features"","""",""No"","""",""x"",""rayyan-305067318"",""Vocal communication in adult greater horseshoe bats, Rhinolophus ferrumequinum."",2006,5,NA,""journal of comparative physiology. a, neuroethology, sensory, neural, and behavioral physiology"",""0340-7594 (Print)"",192,5,""535-50"",""Ma J and Kobayasi K and Zhang S and Metzner W"",""https://pubmed.ncbi.nlm.nih.gov/16418857/"",""eng"",NA,""Germany"",""RAYYAN-INCLUSION: {""""Dori""""=>""""Included""""}"",""10.1007/s00359-006-0094-9"",""Age Factors";Animals;Chiroptera/*physiology;Echolocation/*physiology;*Social Behavior;Sound Spectrography;"Vocalization, Animal/*physiology"",""16418857"","""",NA,32,NA,0,17";;;;;;;;;;;;;;;;;
"13/10/2025 22:28:32,""rayyan-305067342"",""Male rats emit aversive 44-kHz ultrasonic vocalizations during prolonged Pavlovian fear conditioning"",2024,""Rattus norvegicus"",""rat"",""SHR"; Wistar rat;" Sprague–Dawley"",""Rodentia"",""Muridae"",""lab"",""solitary"",""No"",""263"",NA,""140149"",""Hand, Automated"",""No"",""5"",NA,""unclear"",""No"",""Yes, preprocessed"","""",""no"","""","""","""","""","""",NA,NA,""none reported"",""DeepSqueak"","""",""No"",""duration"","""","""","""","""","""","""",""call contour"","""",""""""Unsupervised k-means clustering was based on call contour, frequency and duration variables"""" - unclear what variables exactly"",""DeepSqueak"",""K-means clustering, DBSCAN"",""features"","""",""Yes"",""CC BY 4.0"",""x"",""rayyan-305067342"",""Male rats emit aversive 44-kHz ultrasonic vocalizations during prolonged Pavlovian fear conditioning."",2024,12,10,""elife"",""2050-084X (Electronic)"",12,NA,"""",""Olszyński KH and Polowy R and Wardak AD and Łaska IA and Grymanowska AW and Puławski W and Gawryś O and Koliński M and Filipkowski RK"",""https://pubmed.ncbi.nlm.nih.gov/39656518/"",""eng"",NA,""England"",""RAYYAN-INCLUSION: {""""Dori""""=>""""Included""""}"",""10.7554/eLife.88810"",""Animals";*Fear;Male;*Vocalization, Animal/physiology;Rats;*Rats, Wistar;*Conditioning, Classical;*Rats, Inbred SHR;"Ultrasonics"",""39656518"",""PMC11630816"",NA,263,140149,0,5";;;;;;;;;;;;;;;;;;
"14/10/2025 08:12:19,""rayyan-305067355"",""Ultrasonic signals associated with different types of social behavior of mice"",2020,""Mus musculus"",""Laboratory mouse"",""B6.CAST-Cdh23Ahl+/Kjn"",""Rodentia"",""Muridae"",""lab"",""group"",""No"",""22"",NA,""211090"",""Automated"",""No"","""",NA,""22"",""Yes"",""Upon request"","""",""no"","""","""","""","""","""",NA,NA,""not reported"",""MATLAB"","""",""No"",""duration, amplitude"","""","""","""","""","""","""",""Algorithm based on F0 contour"",""F0"","""",""MATLAB"",""K-means clustering"",""features"",""Clustering based on F0 contour (100 bins)"",""No"","""",""x"",""rayyan-305067355"",""Ultrasonic signals associated with different types of social behavior of mice."",2020,3,NA,""nature neuroscience"",""1546-1726 (Electronic)"",23,3,""411-422"",""Sangiamo DT and Warren MR and Neunuebel JP"",""https://pubmed.ncbi.nlm.nih.gov/32066980/"",""eng"",NA,""United States"",""RAYYAN-INCLUSION: {""""Dori""""=>""""Included""""}"",""10.1038/s41593-020-0584-z"",""Aggression";Algorithms;*Animal Communication;Animals;Female;Individuality;Interpersonal Relations;Male;Mice;*Social Behavior;Social Dominance;Sound Localization;*Ultrasonics;"Vocalization, Animal/*physiology"",""32066980"",""PMC7065962"",NA,22,211090,0,NA";;;;;;;;;;;;;;;
"14/10/2025 13:48:27,""rayyan-305067372"",""Primed to vocalize: Wild-derived male house mice increase vocalization rate and diversity after a previous encounter with a female."",2020,""Mus musculus"",""House mouse"",""wild-derived house mice (F1)"",""Rodentia"",""Muridae"",""lab"",""solitary"",""No"",""50"",NA,"""",""Hand"",""No"",""15"",NA,"""",""No"",""Yes, preprocessed"",""males only"",""no"","""","""","""","""","""",NA,NA,"""",""A-MUD"",""4"",""No"",""duration"","""","""","""","""","""","""",""mean frequency (kHz)"; mean amplitude (dB);" slope (kHz/ms)"",""amplitude"","""",""R"",""ANOSIM, MDS"",""features"","""",""Yes"",""CC BY 4.0"",""x"",""rayyan-305067372"",""Primed to vocalize: Wild-derived male house mice increase vocalization rate and diversity after a previous encounter with a female."",2020,NA,NA,""plos one"",""1932-6203 (Electronic)"",15,12,""e0242959"",""Zala SM and Nicolakis D and Marconi MA and Noll A and Ruf T and Balazs P and Penn DJ"",""https://pubmed.ncbi.nlm.nih.gov/33296411/"",""eng"",NA,""United States"",""RAYYAN-INCLUSION: {""""Dori""""=>""""Included""""}"",""10.1371/journal.pone.0242959"",""Animals";Female;Male;Mice;Sexual Behavior, Animal/*physiology;"*Vocalization, Animal"",""33296411"",""PMC7725367"",NA,50,NA,0,15";;;;;;;;;;;;;;;;;;;;;
"26/10/2025 20:17:42,""rayyan-305067430"",""Ultrasonic vocalizations in golden hamsters (Mesocricetus auratus) reveal modest sex differences and nonlinear signals of sexual motivation."",2015,""Mesocricetus auratus"",""golden hamster"","""",""Rodentia"",""Cricetidae"",""lab"",""group, solitary"",""No"",""26"",NA,""1103"",""Hand"",""Yes"",""8"",NA,"""",""No"",""No"","""",""no"","""",""512"",""Hanning/Hann"",""80"","""",NA,NA,"""",""Raven Pro"",""14"",""No"",""duration"","""","""","""","""",""average power, aggregate entropy, average entropy, max/peak frequency, center frequency, 1st quartile frequency, 3rd quartile frequency, IQR bandwidth, filtered RMS amplitude"","""",""min freq"; delta freq;" energy"","""","""",""JMP (SAS Institute)"",""PCA"",""features"","""",""Yes"",""CC BY 4.0"",""x"",""rayyan-305067430"",""Ultrasonic vocalizations in golden hamsters (Mesocricetus auratus) reveal modest sex differences and nonlinear signals of sexual motivation."",2015,NA,NA,""plos one"",""1932-6203 (Electronic)"",10,2,""e0116789"",""Fernández-Vargas M and Johnston RE"",""https://pubmed.ncbi.nlm.nih.gov/25714096/"",""eng"",NA,""United States"",""RAYYAN-INCLUSION: {""""Dori""""=>""""Included""""}"",""10.1371/journal.pone.0116789"",""Acoustics";Animals;Cricetinae;Female;Male;*Sexual Behavior, Animal;*Ultrasonic Waves;"*Vocalization, Animal"",""25714096"",""PMC4340904"",NA,26,1103,0,8";;;;;;;;;;;;;;;;;;;
